day of week,is_Weekday,hour,time_group,origin_lat,origin_lng,dest_lat,dest_lng,euclid_dist,duration
2,1,10,day,1.390003965,103.746197,1.329339575,103.8534327,13696.934469999998,828
2,1,5,late night,1.3884899,103.7432052,1.3289906999999999,103.8662444,15193.59199,1115
1,1,0,late night,1.379323001,103.7603848,1.330244084,103.8630662,12651.96608,1503
4,1,2,late night,1.386110886,103.7417725,1.329741877,103.8452527,13100.06508,989
6,0,12,day,1.372829232,103.74144009999999,1.329633282,103.84226020000001,12193.44895,993
5,0,0,late night,1.38628381,103.7460733,1.332049558,103.8691775,14954.56999,1074
6,0,22,night,1.378831636,103.7591906,1.329283073,103.84080970000001,10614.90272,1043
0,1,5,late night,1.3716218,103.745761,1.3297298,103.84362970000001,11834.76591,945
2,1,9,morning peak,1.3796232940000002,103.7609319,1.330385223,103.8627178,12569.92881,1232
5,0,2,late night,1.3712671,103.7460822,1.3286959999999999,103.8679063,14345.943369999999,1431
2,1,0,late night,1.394794499,103.7468047,1.329654594,103.85831,14356.46995,1400
4,1,10,day,1.377903459,103.7570901,1.329369542,103.85416490000001,12065.4451,1268
5,0,7,late night,1.3775232,103.7563602,1.3379921000000001,103.8403782,10322.44044,2822
6,0,4,late night,1.4000299999999999,103.7485333,1.3387383,103.8566733,13818.73904,1239
0,1,22,night,1.3925209040000002,103.7438676,1.32983089,103.84722559999999,13438.89579,966
6,0,22,night,1.398741164,103.7481649,1.328881497,103.8670014,15324.941859999999,1126
5,0,5,late night,1.382583353,103.7490691,1.329751944,103.8450589,12180.80993,1171
5,0,3,late night,1.39344491,103.745861,1.3295945409999999,103.8651049,15037.21595,1202
3,1,2,late night,1.3817385309999999,103.752587,1.328734985,103.8670416,14021.98496,1330
0,1,10,day,1.391028285,103.745132,1.337438785,103.8435441,12457.44763,1058
0,1,6,late night,1.3900333,103.74556329999999,1.3297667,103.864755,14848.050319999998,976
1,1,2,late night,1.3891175219999998,103.75294559999999,1.328372074,103.86804240000001,14468.09021,958
5,0,1,late night,1.394872,103.7468132,1.3361522,103.8878178,16980.09497,1540
1,1,10,day,1.3778798,103.7561922,1.3297696,103.84605909999999,11332.14466,1231
5,0,15,day,1.386265075,103.7460652,1.330198413,103.86317890000001,14434.53402,837
1,1,6,late night,1.3887151000000002,103.74579150000001,1.3307966999999998,103.86046440000001,14281.952330000002,968
2,1,2,late night,1.3919598640000002,103.7451201,1.32982769,103.8436804,12952.68355,1028
3,1,0,late night,1.3921555,103.7451329,1.3403919,103.84701690000001,12704.436459999999,1296
4,1,6,late night,1.3844214,103.7466067,1.3306607,103.86168520000001,14120.37224,1155
1,1,11,day,1.3870801780000002,103.74606690000002,1.330025142,103.8635673,14520.992919999999,898
6,0,22,night,1.378407799,103.7580927,1.330347215,103.85982890000001,12508.46283,957
4,1,10,day,1.37692773,103.7549827,1.336985351,103.8372689,10168.48228,1404
6,0,22,night,1.3845673,103.7465248,1.3321469,103.8551708,13410.50348,1333
0,1,9,morning peak,1.3985776,103.7478158,1.3289233999999999,103.86651140000001,15299.860719999999,1308
6,0,9,morning peak,1.3900175,103.74788649999999,1.3344417,103.8564011,13553.66816,2031
2,1,22,night,1.392195674,103.74522370000001,1.330453917,103.8626368,14747.525269999998,997
1,1,10,day,1.378320872,103.7578798,1.329344152,103.85750820000001,12341.638429999999,1160
6,0,6,late night,1.3793725000000001,103.7604013,1.3294153,103.8415261,10591.73426,1072
2,1,2,late night,1.3899598999999998,103.7487515,1.3314107,103.84610179999999,12629.19109,895
1,1,11,day,1.3804423000000001,103.7567417,1.331141,103.8548898,12210.334190000001,993
6,0,5,late night,1.3898948,103.74582480000001,1.3309826,103.8542917,13722.14009,954
3,1,2,late night,1.3889025380000002,103.74368079999999,1.329553752,103.8647333,14987.70793,947
4,1,3,late night,1.3875520959999998,103.7412142,1.329574412,103.8646849,15164.09226,886
