,date,day,hour,days_of_week,text
0,2019-04-30 21:13:54,30,21,Tuesday,Accident on PIE (towards Changi Airport) at Clementi Ave 6 Exit
1,2019-04-30 19:54:21,30,19,Tuesday,Accident on Dunearn Road (towards City) after Wayang Satu Flyover. Avoid right lane
2,2019-04-30 16:34:40,30,16,Tuesday,Accident on PIE (towards Changi Airport) at Clementi Ave 6 Entrance
3,2019-04-30 16:29:44,30,16,Tuesday,Accident on ECP (towards City) before PIE(Tuas) Exit. Avoid lane 5
4,2019-04-30 16:27:34,30,16,Tuesday,Accident on ECP (towards City) before PIE(Tuas) Exit. Avoid lane 4
5,2019-04-30 15:37:50,30,15,Tuesday,Accident on ECP (towards City) before PIE(Tuas) Exit. Avoid lane 3
6,2019-04-30 14:41:48,30,14,Tuesday,Heavy Traffic on CTE (towards SLE) after Moulmein Rd Exit
7,2019-04-30 14:34:22,30,14,Tuesday,Accident on CTE (towards SLE) after Moulmein Rd Exit with congestion till Bukit Timah Rd Entrance. Avoid lane 4
8,2019-04-30 14:32:55,30,14,Tuesday,Accident on CTE (towards SLE) after Moulmein Rd Exit. Avoid lane 4
9,2019-04-30 12:11:34,30,12,Tuesday,Accident on AYE (towards Tuas) after Clementi Ave 2 Exit. Avoid lane 4
10,2019-04-30 11:39:59,30,11,Tuesday,Accident on ECP (towards Changi Airport) before Tg Katong Rd Exit with congestion till Fort Rd Exit
11,2019-04-30 11:19:09,30,11,Tuesday,Accident on AYE (towards MCE) after Buona Vista Exit. Avoid lane 1
12,2019-04-30 11:05:14,30,11,Tuesday,Accident on ECP (towards Changi Airport) before Tg Katong Rd Exit with congestion till Fort Rd Exit. Avoid lanes 2 and 3
13,2019-04-30 11:02:33,30,11,Tuesday,"Accident on ECP (towards Changi Airport) before Tg Katong Rd Exit. Avoid lanes 1, 2 and 3"
14,2019-04-30 10:54:29,30,10,Tuesday,Obstacle on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 3
15,2019-04-30 10:49:51,30,10,Tuesday,Heavy Traffic on PIE (towards Tuas) after Thomson Rd Exit
16,2019-04-30 10:32:22,30,10,Tuesday,Accident on Dairy Farm Road near Dairy Farm Road/Petir Road Junction
17,2019-04-30 09:26:42,30,9,Tuesday,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till Paya Lebar Rd. Avoid lanes 1 and 2
18,2019-04-30 09:22:27,30,9,Tuesday,Obstacle on MCE (towards AYE) after Maxwell Rd Exit. Avoid lane 1
19,2019-04-30 09:07:01,30,9,Tuesday,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till KPE Exit. Avoid lanes 1 and 2
20,2019-04-30 08:56:19,30,8,Tuesday,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till CTE(SLE) Exit. Avoid lanes 1 and 2
21,2019-04-30 08:40:30,30,8,Tuesday,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till Toa Payoh Exit. Avoid lanes 1 and 2
22,2019-04-30 08:34:06,30,8,Tuesday,Accident on PIE (towards Tuas) after Thomson Rd Exit. Avoid lanes 1 and 2
23,2019-04-30 08:14:28,30,8,Tuesday,Accident on CTE (towards SLE) at Jalan Bahagia Exit
24,2019-04-30 07:50:35,30,7,Tuesday,Obstacle on PIE (towards Tuas) before Pioneer Rd North. Avoid lane 4
25,2019-04-30 06:46:34,30,6,Tuesday,Accident on CTE (towards AYE) after PIE(Jurong) Exit. Avoid lane 5
26,2019-04-30 06:15:09,30,6,Tuesday,Accident on ECP (towards Changi Airport) after Bedok Exit
27,2019-04-30 05:41:59,30,5,Tuesday,Accident on ECP (towards Changi Airport) after Bedok Exit. Avoid lane 1
28,2019-04-30 04:21:44,30,4,Tuesday,Accident on PIE (towards Tuas) after Bedok North Rd
29,2019-04-30 04:04:00,30,4,Tuesday,Accident on PIE (towards Tuas) after Bedok North Rd with congestion till Tampines
30,2019-04-30 04:04:00,30,4,Tuesday,Accident on AYE (towards MCE) at PIE(KJE) Exit
