Column1,date,days_of_week,day,hour,text,Incident Type,Location
0,30/04/2019 21:13,Tuesday,30,21,Accident on PIE (towards Changi Airport) at Clementi Ave 6 Exit,Accident,PIE (towards Changi Airport) at Clementi Ave 6 Exit
1,30/04/2019 19:54,Tuesday,30,19,Accident on Dunearn Road (towards City) after Wayang Satu Flyover. Avoid right lane,Accident,Dunearn Road (towards City) after Wayang Satu Flyover
2,30/04/2019 16:34,Tuesday,30,16,Accident on PIE (towards Changi Airport) at Clementi Ave 6 Entrance,Accident,PIE (towards Changi Airport) at Clementi Ave 6 Entrance
3,30/04/2019 16:29,Tuesday,30,16,Accident on ECP (towards City) before PIE(Tuas) Exit. Avoid lane 5,Accident,ECP (towards City) before PIE(Tuas) Exit
4,30/04/2019 16:27,Tuesday,30,16,Accident on ECP (towards City) before PIE(Tuas) Exit. Avoid lane 4,Accident,ECP (towards City) before PIE(Tuas) Exit
5,30/04/2019 15:37,Tuesday,30,15,Accident on ECP (towards City) before PIE(Tuas) Exit. Avoid lane 3,Accident,ECP (towards City) before PIE(Tuas) Exit
6,30/04/2019 14:41,Tuesday,30,14,Heavy Traffic on CTE (towards SLE) after Moulmein Rd Exit,Heavy Traffic,on CTE (towards SLE) after Moulmein Rd Exit
7,30/04/2019 14:34,Tuesday,30,14,Accident on CTE (towards SLE) after Moulmein Rd Exit with congestion till Bukit Timah Rd Entrance. Avoid lane 4,Accident,CTE (towards SLE) after Moulmein Rd Exit with congestion till Bukit Timah Rd Entrance
8,30/04/2019 14:32,Tuesday,30,14,Accident on CTE (towards SLE) after Moulmein Rd Exit. Avoid lane 4,Accident,CTE (towards SLE) after Moulmein Rd Exit
9,30/04/2019 12:11,Tuesday,30,12,Accident on AYE (towards Tuas) after Clementi Ave 2 Exit. Avoid lane 4,Accident,AYE (towards Tuas) after Clementi Ave 2 Exit
10,30/04/2019 11:39,Tuesday,30,11,Accident on ECP (towards Changi Airport) before Tg Katong Rd Exit with congestion till Fort Rd Exit,Accident,ECP (towards Changi Airport) before Tg Katong Rd Exit with congestion till Fort Rd Exit
11,30/04/2019 11:19,Tuesday,30,11,Accident on AYE (towards MCE) after Buona Vista Exit. Avoid lane 1,Accident,AYE (towards MCE) after Buona Vista Exit
12,30/04/2019 11:05,Tuesday,30,11,Accident on ECP (towards Changi Airport) before Tg Katong Rd Exit with congestion till Fort Rd Exit. Avoid lanes 2 and 3,Accident,ECP (towards Changi Airport) before Tg Katong Rd Exit with congestion till Fort Rd Exit
13,30/04/2019 11:02,Tuesday,30,11,"Accident on ECP (towards Changi Airport) before Tg Katong Rd Exit. Avoid lanes 1, 2 and 3",Accident,ECP (towards Changi Airport) before Tg Katong Rd Exit
14,30/04/2019 10:54,Tuesday,30,10,Obstacle on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 3,Obstacle,KJE (towards BKE) after Woodlands Rd Exit
15,30/04/2019 10:49,Tuesday,30,10,Heavy Traffic on PIE (towards Tuas) after Thomson Rd Exit,Heavy Traffic,on PIE (towards Tuas) after Thomson Rd Exit
16,30/04/2019 10:32,Tuesday,30,10,Accident on Dairy Farm Road near Dairy Farm Road/Petir Road Junction,Accident,Dairy Farm Road near Dairy Farm Road/Petir Road Junction
17,30/04/2019 9:26,Tuesday,30,9,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till Paya Lebar Rd. Avoid lanes 1 and 2,Accident,PIE (towards Tuas) after Thomson Rd Exit with congestion till Paya Lebar Rd
18,30/04/2019 9:22,Tuesday,30,9,Obstacle on MCE (towards AYE) after Maxwell Rd Exit. Avoid lane 1,Obstacle,MCE (towards AYE) after Maxwell Rd Exit
19,30/04/2019 9:07,Tuesday,30,9,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till KPE Exit. Avoid lanes 1 and 2,Accident,PIE (towards Tuas) after Thomson Rd Exit with congestion till KPE Exit
20,30/04/2019 8:56,Tuesday,30,8,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till CTE(SLE) Exit. Avoid lanes 1 and 2,Accident,PIE (towards Tuas) after Thomson Rd Exit with congestion till CTE(SLE) Exit
21,30/04/2019 8:40,Tuesday,30,8,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till Toa Payoh Exit. Avoid lanes 1 and 2,Accident,PIE (towards Tuas) after Thomson Rd Exit with congestion till Toa Payoh Exit
22,30/04/2019 8:34,Tuesday,30,8,Accident on PIE (towards Tuas) after Thomson Rd Exit. Avoid lanes 1 and 2,Accident,PIE (towards Tuas) after Thomson Rd Exit
23,30/04/2019 8:14,Tuesday,30,8,Accident on CTE (towards SLE) at Jalan Bahagia Exit,Accident,CTE (towards SLE) at Jalan Bahagia Exit
24,30/04/2019 7:50,Tuesday,30,7,Obstacle on PIE (towards Tuas) before Pioneer Rd North. Avoid lane 4,Obstacle,PIE (towards Tuas) before Pioneer Rd North
25,30/04/2019 6:46,Tuesday,30,6,Accident on CTE (towards AYE) after PIE(Jurong) Exit. Avoid lane 5,Accident,CTE (towards AYE) after PIE(Jurong) Exit
26,30/04/2019 6:15,Tuesday,30,6,Accident on ECP (towards Changi Airport) after Bedok Exit,Accident,ECP (towards Changi Airport) after Bedok Exit
27,30/04/2019 5:41,Tuesday,30,5,Accident on ECP (towards Changi Airport) after Bedok Exit. Avoid lane 1,Accident,ECP (towards Changi Airport) after Bedok Exit
28,30/04/2019 4:21,Tuesday,30,4,Accident on PIE (towards Tuas) after Bedok North Rd,Accident,PIE (towards Tuas) after Bedok North Rd
29,30/04/2019 4:04,Tuesday,30,4,Accident on PIE (towards Tuas) after Bedok North Rd with congestion till Tampines,Accident,PIE (towards Tuas) after Bedok North Rd with congestion till Tampines
30,30/04/2019 4:04,Tuesday,30,4,Accident on AYE (towards MCE) at PIE(KJE) Exit,Accident,AYE (towards MCE) at PIE(KJE) Exit
31,30/04/2019 3:42,Tuesday,30,3,Accident on PIE (towards Tuas) after Bedok North Rd with congestion till Tampines. Avoid lane 1,Accident,PIE (towards Tuas) after Bedok North Rd with congestion till Tampines
32,30/04/2019 3:39,Tuesday,30,3,Accident on PIE (towards Tuas) after Bedok North Rd with congestion till Tampines. Avoid lanes 1 and 2,Accident,PIE (towards Tuas) after Bedok North Rd with congestion till Tampines
33,30/04/2019 3:18,Tuesday,30,3,Accident on PIE (towards Tuas) after Bedok North Rd with congestion till Bedok North Avenue 3 exit. Avoid lanes 1 and 2,Accident,PIE (towards Tuas) after Bedok North Rd with congestion till Bedok North Avenue 3 exit
34,30/04/2019 3:12,Tuesday,30,3,Accident on PIE (towards Tuas) after Bedok North Rd with congestion till Bedok North Avenue 3 exit. Avoid lane 1,Accident,PIE (towards Tuas) after Bedok North Rd with congestion till Bedok North Avenue 3 exit
35,30/04/2019 3:11,Tuesday,30,3,Accident on SLE (towards BKE) at Woodlands Ave 12 Exit. Woodlands Ave 12 Exit closed,Accident,SLE (towards BKE) at Woodlands Ave 12 Exit
36,30/04/2019 3:09,Tuesday,30,3,Accident on PIE (towards Tuas) after Bedok North Rd. Avoid lane 1,Accident,PIE (towards Tuas) after Bedok North Rd
37,30/04/2019 3:02,Tuesday,30,3,Accident in CTE Tunnel (towards SLE) after Outram Rd Exit,Accident,CTE Tunnel (towards SLE) after Outram Rd Exit
38,30/04/2019 3:01,Tuesday,30,3,Accident on SLE (towards BKE) at Woodlands Ave 12 Exit,Accident,SLE (towards BKE) at Woodlands Ave 12 Exit
39,30/04/2019 2:53,Tuesday,30,2,Accident in CTE Tunnel (towards SLE) after Outram Rd Exit. Avoid lane 2,Accident,CTE Tunnel (towards SLE) after Outram Rd Exit
40,30/04/2019 2:23,Tuesday,30,2,Accident on Rochor Road (towards Beach Road) after Temasek Boulevard,Accident,Rochor Road (towards Beach Road) after Temasek Boulevard
41,30/04/2019 2:03,Tuesday,30,2,Accident on PIE (towards Changi Airport) before Eng Neo Ave. Avoid lane 2,Accident,PIE (towards Changi Airport) before Eng Neo Ave
42,30/04/2019 1:23,Tuesday,30,1,Accident on Macritchie Viaduct (towards Lornie) after Bishan Flyover with congestion till Toa Payoh. Avoid left lane,Accident,Macritchie Viaduct (towards Lornie) after Bishan Flyover with congestion till Toa Payoh
43,30/04/2019 1:20,Tuesday,30,1,Accident on CTE (towards SLE) after Jalan Bahagia Exit,Accident,CTE (towards SLE) after Jalan Bahagia Exit
44,30/04/2019 1:13,Tuesday,30,1,Accident on TPE (towards PIE) before Elias Rd Exit. Avoid lane 2,Accident,TPE (towards PIE) before Elias Rd Exit
45,30/04/2019 1:12,Tuesday,30,1,Accident on TPE (towards PIE) after Pasir Ris Dr 12 Exit. Avoid lane 2,Accident,TPE (towards PIE) after Pasir Ris Dr 12 Exit
46,30/04/2019 1:06,Tuesday,30,1,Accident on SLE (towards BKE) after Mandai Rd Exit with congestion till Upper Thomson Rd Exit,Accident,SLE (towards BKE) after Mandai Rd Exit with congestion till Upper Thomson Rd Exit
47,30/04/2019 1:01,Tuesday,30,1,Accident on Macritchie Viaduct (towards Lornie) after Bishan Flyover. Avoid left lane,Accident,Macritchie Viaduct (towards Lornie) after Bishan Flyover
48,30/04/2019 1:00,Tuesday,30,1,Heavy Traffic on SLE (towards CTE) after Woodlands Ave 12 Exit,Heavy Traffic,on SLE (towards CTE) after Woodlands Ave 12 Exit
49,30/04/2019 0:46,Tuesday,30,0,Accident on SLE (towards BKE) after Mandai Rd Exit with congestion till Lentor Ave Exit,Accident,SLE (towards BKE) after Mandai Rd Exit with congestion till Lentor Ave Exit
50,30/04/2019 0:43,Tuesday,30,0,Accident on PIE (towards Tuas) before KPE Exit,Accident,PIE (towards Tuas) before KPE Exit
51,30/04/2019 0:39,Tuesday,30,0,Heavy Traffic on BKE (towards PIE) before PIE Exit,Heavy Traffic,on BKE (towards PIE) before PIE Exit
52,30/04/2019 0:37,Tuesday,30,0,Accident on BKE (towards PIE) before PIE Exit with congestion till Bukit Panjang Rd Exit. Avoid lane 2,Accident,BKE (towards PIE) before PIE Exit with congestion till Bukit Panjang Rd Exit
53,30/04/2019 0:35,Tuesday,30,0,Accident on BKE (towards PIE) before PIE Exit. Avoid lane 2,Accident,BKE (towards PIE) before PIE Exit
54,30/04/2019 0:28,Tuesday,30,0,Accident on Airport Road (towards Hougang Avenue 3) after Bartley Road East. Avoid left lane,Accident,Airport Road (towards Hougang Avenue 3) after Bartley Road East
55,30/04/2019 0:22,Tuesday,30,0,Accident on SLE (towards CTE) after Woodlands Ave 12 Exit with congestion till BKE Entrance,Accident,SLE (towards CTE) after Woodlands Ave 12 Exit with congestion till BKE Entrance
