,date,day,hour,days_of_week,text
0,2019-05-31 16:13:16,31,16,Friday,Accident on AYE (towards MCE) after Jurong Town Hall Exit
1,2019-05-31 16:07:54,31,16,Friday,Accident on AYE (towards Tuas) before Jurong Town Hall Exit
2,2019-05-31 15:58:47,31,15,Friday,Accident in CTE Tunnel (towards SLE) after Merchant Rd Exit. Avoid lane 1
3,2019-05-31 14:53:08,31,14,Friday,Accident on TPE (towards PIE) after Pasir Ris Dr 8 Exit. Avoid lane 4
4,2019-05-31 14:06:35,31,14,Friday,Accident on PIE (towards Changi Airport) after Jalan Eunos with congestion till Kallang. Avoid lane 1
5,2019-05-31 14:04:20,31,14,Friday,Heavy Traffic in CTE Tunnel (towards SLE) before Cairnhill Circle Entrance
6,2019-05-31 14:02:46,31,14,Friday,Accident on PIE (towards Changi Airport) after Jalan Eunos. Avoid lane 1
7,2019-05-31 13:59:30,31,13,Friday,Accident in CTE Tunnel (towards SLE) before Cairnhill Circle Entrance with congestion till Merchant Rd Exit. Avoid lane 1
8,2019-05-31 13:52:03,31,13,Friday,Accident in CTE Tunnel (towards SLE) before Cairnhill Circle Entrance. Avoid lane 1
9,2019-05-31 13:26:56,31,13,Friday,Accident on PIE (towards Changi Airport) after Thomson Rd with congestion till Toa Payoh Lor 1. Avoid lane 1
10,2019-05-31 13:24:44,31,13,Friday,Accident on PIE (towards Changi Airport) after Thomson Rd. Avoid lane 1
11,2019-05-31 12:14:09,31,12,Friday,Accident on TPE (towards SLE) at KPE(ECP) Exit
12,2019-05-31 11:52:44,31,11,Friday,Accident on PIE (towards Tuas) after Bedok North Rd
13,2019-05-31 11:51:42,31,11,Friday,Accident on PIE (towards Tuas) before Paya Lebar Rd. Avoid lane 4
14,2019-05-31 11:26:02,31,11,Friday,Accident on PIE (towards Tuas) after Bedok North Rd. Avoid lane 1
15,2019-05-31 11:13:06,31,11,Friday,Accident on TPE (towards PIE) after Punggol Rd Exit with congestion till Sengkang Exit. Avoid lane 1
16,2019-05-31 11:07:41,31,11,Friday,Accident on KPE (towards ECP) at Airport Road Entrance
17,2019-05-31 11:06:05,31,11,Friday,Accident on TPE (towards PIE) after Punggol Rd Exit with congestion till Punggol Rd Exit. Avoid lane 1
18,2019-05-31 11:03:53,31,11,Friday,Accident on TPE (towards PIE) after Punggol Rd Exit. Avoid lane 1
19,2019-05-31 09:59:30,31,9,Friday,Accident on KPE (towards TPE) at PIE Exit
20,2019-05-31 09:44:54,31,9,Friday,Heavy Traffic on ECP (towards Changi Airport) after Still Rd Sth Exit
21,2019-05-31 09:37:55,31,9,Friday,Accident on AYE (towards Tuas) after Buona Vista exit. Avoid lane 1
22,2019-05-31 09:22:19,31,9,Friday,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit with congestion till Fort Rd Exit
23,2019-05-31 08:59:42,31,8,Friday,Accident on PIE (towards Changi Airport) at Lornie Highway Entrance
24,2019-05-31 08:44:32,31,8,Friday,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit with congestion till Fort Rd Exit. Avoid lane 1
