Column1,date,days_of_week,day,hour,text,Incident Type,Location
0,31/05/2019 16:13,Friday,31,16,Accident on AYE (towards MCE) after Jurong Town Hall Exit,Accident,AYE (towards MCE) after Jurong Town Hall Exit
1,31/05/2019 16:07,Friday,31,16,Accident on AYE (towards Tuas) before Jurong Town Hall Exit,Accident,AYE (towards Tuas) before Jurong Town Hall Exit
2,31/05/2019 15:58,Friday,31,15,Accident in CTE Tunnel (towards SLE) after Merchant Rd Exit. Avoid lane 1,Accident,CTE Tunnel (towards SLE) after Merchant Rd Exit
3,31/05/2019 14:53,Friday,31,14,Accident on TPE (towards PIE) after Pasir Ris Dr 8 Exit. Avoid lane 4,Accident,TPE (towards PIE) after Pasir Ris Dr 8 Exit
4,31/05/2019 14:06,Friday,31,14,Accident on PIE (towards Changi Airport) after Jalan Eunos with congestion till Kallang. Avoid lane 1,Accident,PIE (towards Changi Airport) after Jalan Eunos with congestion till Kallang
5,31/05/2019 14:04,Friday,31,14,Heavy Traffic in CTE Tunnel (towards SLE) before Cairnhill Circle Entrance,Heavy Traffic,in CTE Tunnel (towards SLE) before Cairnhill Circle Entrance
6,31/05/2019 14:02,Friday,31,14,Accident on PIE (towards Changi Airport) after Jalan Eunos. Avoid lane 1,Accident,PIE (towards Changi Airport) after Jalan Eunos
7,31/05/2019 13:59,Friday,31,13,Accident in CTE Tunnel (towards SLE) before Cairnhill Circle Entrance with congestion till Merchant Rd Exit. Avoid lane 1,Accident,CTE Tunnel (towards SLE) before Cairnhill Circle Entrance with congestion till Merchant Rd Exit
8,31/05/2019 13:52,Friday,31,13,Accident in CTE Tunnel (towards SLE) before Cairnhill Circle Entrance. Avoid lane 1,Accident,CTE Tunnel (towards SLE) before Cairnhill Circle Entrance
9,31/05/2019 13:26,Friday,31,13,Accident on PIE (towards Changi Airport) after Thomson Rd with congestion till Toa Payoh Lor 1. Avoid lane 1,Accident,PIE (towards Changi Airport) after Thomson Rd with congestion till Toa Payoh Lor 1
10,31/05/2019 13:24,Friday,31,13,Accident on PIE (towards Changi Airport) after Thomson Rd. Avoid lane 1,Accident,PIE (towards Changi Airport) after Thomson Rd
11,31/05/2019 12:14,Friday,31,12,Accident on TPE (towards SLE) at KPE(ECP) Exit,Accident,TPE (towards SLE) at KPE(ECP) Exit
12,31/05/2019 11:52,Friday,31,11,Accident on PIE (towards Tuas) after Bedok North Rd,Accident,PIE (towards Tuas) after Bedok North Rd
13,31/05/2019 11:51,Friday,31,11,Accident on PIE (towards Tuas) before Paya Lebar Rd. Avoid lane 4,Accident,PIE (towards Tuas) before Paya Lebar Rd
14,31/05/2019 11:26,Friday,31,11,Accident on PIE (towards Tuas) after Bedok North Rd. Avoid lane 1,Accident,PIE (towards Tuas) after Bedok North Rd
15,31/05/2019 11:13,Friday,31,11,Accident on TPE (towards PIE) after Punggol Rd Exit with congestion till Sengkang Exit. Avoid lane 1,Accident,TPE (towards PIE) after Punggol Rd Exit with congestion till Sengkang Exit
16,31/05/2019 11:07,Friday,31,11,Accident on KPE (towards ECP) at Airport Road Entrance,Accident,KPE (towards ECP) at Airport Road Entrance
17,31/05/2019 11:06,Friday,31,11,Accident on TPE (towards PIE) after Punggol Rd Exit with congestion till Punggol Rd Exit. Avoid lane 1,Accident,TPE (towards PIE) after Punggol Rd Exit with congestion till Punggol Rd Exit
18,31/05/2019 11:03,Friday,31,11,Accident on TPE (towards PIE) after Punggol Rd Exit. Avoid lane 1,Accident,TPE (towards PIE) after Punggol Rd Exit
19,31/05/2019 9:59,Friday,31,9,Accident on KPE (towards TPE) at PIE Exit,Accident,KPE (towards TPE) at PIE Exit
20,31/05/2019 9:44,Friday,31,9,Heavy Traffic on ECP (towards Changi Airport) after Still Rd Sth Exit,Heavy Traffic,on ECP (towards Changi Airport) after Still Rd Sth Exit
21,31/05/2019 9:37,Friday,31,9,Accident on AYE (towards Tuas) after Buona Vista exit. Avoid lane 1,Accident,AYE (towards Tuas) after Buona Vista exit
22,31/05/2019 9:22,Friday,31,9,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit with congestion till Fort Rd Exit,Accident,ECP (towards Changi Airport) after Still Rd Sth Exit with congestion till Fort Rd Exit
23,31/05/2019 8:59,Friday,31,8,Accident on PIE (towards Changi Airport) at Lornie Highway Entrance,Accident,PIE (towards Changi Airport) at Lornie Highway Entrance
24,31/05/2019 8:44,Friday,31,8,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit with congestion till Fort Rd Exit. Avoid lane 1,Accident,ECP (towards Changi Airport) after Still Rd Sth Exit with congestion till Fort Rd Exit
25,31/05/2019 8:32,Friday,31,8,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit. Avoid lane 1,Accident,ECP (towards Changi Airport) after Still Rd Sth Exit
26,31/05/2019 8:29,Friday,31,8,Accident on BKE (towards Woodlands) before Woodlands Rd Exit. Avoid lanes 3 and 4,Accident,BKE (towards Woodlands) before Woodlands Rd Exit
27,31/05/2019 8:14,Friday,31,8,Accident on BKE (towards Woodlands) before Woodlands Rd Exit. Avoid lane 4,Accident,BKE (towards Woodlands) before Woodlands Rd Exit
28,31/05/2019 7:52,Friday,31,7,Accident on BKE (towards Woodlands) before Woodlands Rd Exit. Avoid lane 2,Accident,BKE (towards Woodlands) before Woodlands Rd Exit
29,31/05/2019 6:51,Friday,31,6,Accident on AYE (towards Tuas) after Lower Delta Rd Exit. Avoid lane 1,Accident,AYE (towards Tuas) after Lower Delta Rd Exit
30,31/05/2019 6:35,Friday,31,6,Accident on Clementi Road (towards Ulu Pandan Road) after Clementi Avenue 2,Accident,Clementi Road (towards Ulu Pandan Road) after Clementi Avenue 2
31,31/05/2019 6:13,Friday,31,6,Accident on CTE (towards AYE) after Moulmein Rd Exit. Avoid lane 5,Accident,CTE (towards AYE) after Moulmein Rd Exit
32,31/05/2019 6:12,Friday,31,6,Accident on CTE (towards AYE) after Moulmein Rd Exit. Avoid lane 1,Accident,CTE (towards AYE) after Moulmein Rd Exit
33,31/05/2019 6:10,Friday,31,6,Heavy Traffic on AYE (towards MCE) at Alexandra Rd Exit,Heavy Traffic,on AYE (towards MCE) at Alexandra Rd Exit
34,31/05/2019 6:02,Friday,31,6,Accident on Jurong Port Road (towards Jalan Terusan) after Jalan Buroh,Accident,Jurong Port Road (towards Jalan Terusan) after Jalan Buroh
35,31/05/2019 5:50,Friday,31,5,Accident on Jurong Port Road (towards Jalan Terusan) after Jalan Ahmad Ibrahim,Accident,Jurong Port Road (towards Jalan Terusan) after Jalan Ahmad Ibrahim
36,31/05/2019 5:40,Friday,31,5,Accident on AYE (towards MCE) at Alexandra Rd Exit,Accident,AYE (towards MCE) at Alexandra Rd Exit
37,31/05/2019 5:01,Friday,31,5,Accident on PIE (towards Tuas) after KPE Exit,Accident,PIE (towards Tuas) after KPE Exit
38,31/05/2019 4:13,Friday,31,4,Accident on KPE (towards ECP) after Tampines Rd Exit,Accident,KPE (towards ECP) after Tampines Rd Exit
39,31/05/2019 3:16,Friday,31,3,Accident on PIE (towards Changi Airport) before Bedok North Rd with congestion till Paya Lebar Rd. Avoid lane 1,Accident,PIE (towards Changi Airport) before Bedok North Rd with congestion till Paya Lebar Rd
40,31/05/2019 3:14,Friday,31,3,Accident on PIE (towards Changi Airport) before Bedok North Rd with congestion till Paya Lebar Rd. Avoid lanes 1 and 2,Accident,PIE (towards Changi Airport) before Bedok North Rd with congestion till Paya Lebar Rd
41,31/05/2019 3:01,Friday,31,3,Accident on PIE (towards Changi Airport) before Bedok North Rd. Avoid lanes 1 and 2,Accident,PIE (towards Changi Airport) before Bedok North Rd
42,31/05/2019 3:01,Friday,31,3,Accident on KPE (towards ECP) after Tampines Rd Exit. Avoid lane 2,Accident,KPE (towards ECP) after Tampines Rd Exit
43,31/05/2019 2:42,Friday,31,2,Accident on KPE (towards ECP) after Tampines Rd Exit. Avoid lane 3,Accident,KPE (towards ECP) after Tampines Rd Exit
44,31/05/2019 2:36,Friday,31,2,Obstacle on PIE (towards Tuas) after Paya Lebar Rd. Avoid lane 1,Obstacle,PIE (towards Tuas) after Paya Lebar Rd
45,31/05/2019 2:36,Friday,31,2,Obstacle on KPE (towards TPE) at PIE(Tuas) Exit,Obstacle,KPE (towards TPE) at PIE(Tuas) Exit
46,31/05/2019 1:35,Friday,31,1,Obstacle on PIE (towards Tuas) after Paya Lebar Rd. Avoid lane 2,Obstacle,PIE (towards Tuas) after Paya Lebar Rd
47,31/05/2019 1:34,Friday,31,1,Obstacle on PIE (towards Tuas) after Paya Lebar Rd. Avoid lanes 1 and 2,Obstacle,PIE (towards Tuas) after Paya Lebar Rd
48,31/05/2019 0:46,Friday,31,0,Accident on CTE (towards SLE) at Jalan Bukit Merah Entrance,Accident,CTE (towards SLE) at Jalan Bukit Merah Entrance
49,31/05/2019 0:31,Friday,31,0,Accident on PIE (towards Changi Airport) after Bukit Timah Rd exit. Avoid lane 1,Accident,PIE (towards Changi Airport) after Bukit Timah Rd exit
50,31/05/2019 0:25,Friday,31,0,Accident on TPE (towards PIE) after Pasir Ris Dr 8 Exit,Accident,TPE (towards PIE) after Pasir Ris Dr 8 Exit
51,30/05/2019 22:51,Thursday,30,22,Accident on BKE (towards Woodlands) after PIE Entrance,Accident,BKE (towards Woodlands) after PIE Entrance
52,30/05/2019 22:49,Thursday,30,22,Accident on BKE (towards Woodlands) after PIE Entrance. Avoid lane 1,Accident,BKE (towards Woodlands) after PIE Entrance
53,30/05/2019 19:47,Thursday,30,19,Accident on CTE (towards SLE) at PIE Exit,Accident,CTE (towards SLE) at PIE Exit
54,30/05/2019 19:32,Thursday,30,19,Accident on SLE (towards CTE) before TPE Exit. Avoid lane 3,Accident,SLE (towards CTE) before TPE Exit
55,30/05/2019 17:34,Thursday,30,17,Obstacle on SLE (towards BKE) after Lentor Ave Exit. Avoid lanes 3 and 4,Obstacle,SLE (towards BKE) after Lentor Ave Exit
56,30/05/2019 16:10,Thursday,30,16,Accident in CTE Tunnel (towards AYE) at Merchant Road Entrance,Accident,CTE Tunnel (towards AYE) at Merchant Road Entrance
57,30/05/2019 15:21,Thursday,30,15,Obstacle on MCE (towards AYE) after Maxwell Rd Exit. Avoid lane 4,Obstacle,MCE (towards AYE) after Maxwell Rd Exit
58,30/05/2019 14:29,Thursday,30,14,Accident on PIE (towards Tuas) after Eng Neo Ave,Accident,PIE (towards Tuas) after Eng Neo Ave
59,30/05/2019 14:24,Thursday,30,14,Accident on CTE (towards SLE) after PIE(Changi) Exit with congestion till Jalan Bahagia Exit. Avoid lane 1,Accident,CTE (towards SLE) after PIE(Changi) Exit with congestion till Jalan Bahagia Exit
60,30/05/2019 14:22,Thursday,30,14,Accident on CTE (towards SLE) after PIE(Changi) Exit. Avoid lane 1,Accident,CTE (towards SLE) after PIE(Changi) Exit
61,30/05/2019 13:32,Thursday,30,13,Accident on SLE (towards BKE) before Woodlands Ave 12 Exit. Avoid lane 1,Accident,SLE (towards BKE) before Woodlands Ave 12 Exit
62,30/05/2019 12:35,Thursday,30,12,Accident on CTE (towards SLE) after Moulmein Rd Exit. Avoid lane 4,Accident,CTE (towards SLE) after Moulmein Rd Exit
