Unnamed: 0,trj_id,day,month,osname,avg_speed,avg_bearing,hour,day of week,is_Weekday,time_group,origin_lat,origin_lng,dest_lat,dest_lng,origin_region,origin_subregion,dest_region,dest_subregion,euclid_dist,duration,origin_avg_daily_rainfall,dest_avg_daily_rainfall
27205,60985,18,4,ios,19.02987591,254.1864411,13,3,1,day,1.335798835,103.9334887,1.320188661,103.7612232,EAST REGION,BEDOK,WEST REGION,CLEMENTI,19228.41302,1229,0.0,1.4
19191,72176,17,4,ios,15.34562975,258.2881144,0,2,1,late night,1.339822547,103.9507396,1.331115399,103.8159795,EAST REGION,TAMPINES,CENTRAL REGION,NOVENA,15011.82262,1177,1.82,0.0
11156,73273,10,4,android,13.67564972,3.671744087,11,2,1,day,1.2787953,103.8291894,1.390357,103.8690583,CENTRAL REGION,BUKIT MERAH,NORTH-EAST REGION,SENGKANG,13173.04635,1140,0.2,0.4
21667,50867,14,4,android,19.37497288,151.95442680000005,22,6,0,night,1.3442622,103.7302317,1.2704583,103.859065,WEST REGION,JURONG EAST,CENTRAL REGION,STRAITS VIEW,16506.50851,905,0.0,0.0
13460,61567,10,4,ios,16.32452001,338.8838509,9,2,1,morning peak,1.309052346,103.8085548,1.355107725,103.7240471,CENTRAL REGION,TANGLIN,WEST REGION,JURONG WEST,10699.46705,1254,1.6,0.2
23015,66597,9,4,ios,14.49434408,174.72697240000005,1,1,1,late night,1.374003066,103.7628525,1.275661038,103.7939672,WEST REGION,BUKIT PANJANG,CENTRAL REGION,QUEENSTOWN,11469.13151,1148,6.4,10.0
27809,43392,19,4,ios,19.46781212,217.373914,1,4,1,late night,1.36578422,103.9619928,1.315099957,103.8163873,EAST REGION,PASIR RIS,CENTRAL REGION,TANGLIN,17139.27073,1304,1.2,0.6
19999,62978,11,4,ios,19.74354384,250.2603244,8,3,1,morning peak,1.343214095,103.9827054,1.329650278,103.8484561,EAST REGION,CHANGI,CENTRAL REGION,NOVENA,14999.79765,887,31.2,23.0
21217,72492,12,4,ios,11.84598549,339.0177127,14,4,1,day,1.290999085,103.8608533,1.333069879,103.7914158,CENTRAL REGION,DOWNTOWN CORE,CENTRAL REGION,BUKIT TIMAH,9025.984649,1432,0.0,0.0
482,72482,11,4,android,13.12357552,12.60755008,3,3,1,late night,1.3056883,103.7901276,1.368594,103.8607371,CENTRAL REGION,QUEENSTOWN,NORTH-EAST REGION,ANG MO KIO,10513.72179,1031,11.2,5.2
